seg,start,end,slot_s,gap_after_s,est_speech_s,headroom_s,speedup_x,chars,text
296,1025.06,1027.00,1.94,0.00,2.27,-0.33,1.170,36,Like in the image you're looking at:
297,1027.00,1029.80,2.80,0.00,1.89,0.91,1.000,30,"the operator, the controller —"
298,1029.80,1032.84,3.04,0.00,1.77,1.27,1.000,28,what he sees is exactly what
299,1032.84,1034.84,2.00,0.00,2.02,-0.02,1.009,32,the drone's camera is capturing.
300,1034.84,1039.72,4.88,0.00,1.51,3.37,1.000,24,"Starting from late 2024,"
301,1039.72,1041.72,2.00,0.00,1.83,0.17,1.000,29,"on the Ukrainian battlefield,"
302,1041.72,1046.20,4.48,0.00,3.59,0.89,1.000,57,they began implementing what's called coordinated combat.
303,1046.20,1048.20,2.00,0.00,2.40,-0.40,1.198,38,"A single soldier, a single individual,"
304,1048.20,1052.80,4.60,0.00,2.65,1.95,1.000,42,doesn't just control the ground vehicles —
305,1052.80,1056.82,4.02,0.00,3.09,0.93,1.000,49,he can also simultaneously control aerial drones.
306,1056.82,1059.10,2.28,0.00,3.22,-0.94,1.410,51,So there's surveillance — like the earlier example:
307,1059.10,1060.98,1.88,0.00,1.89,-0.01,1.006,30,"he spots the Russian soldiers,"
308,1060.98,1064.68,3.70,0.00,2.58,1.12,1.000,41,then can dispatch a bomb-carrying vehicle
309,1064.68,1067.58,2.90,0.00,1.39,1.51,1.000,22,to take out the enemy.
310,1067.58,1069.28,1.70,0.00,2.52,-0.82,1.483,40,You can see this is coordinated combat —
311,1069.28,1072.18,2.90,0.00,2.02,0.88,1.000,32,letting a single soldier control
312,1072.18,1077.36,5.18,0.00,2.71,2.47,1.000,43,"unmanned weapons across sea, land, and air."
313,1077.36,1081.86,4.50,0.00,3.85,0.65,1.000,61,"On top of that, over these few years, artificial intelligence"
314,1081.86,1084.78,2.92,0.00,2.46,0.46,1.000,39,"has been developing on the battlefield,"
315,1084.78,1089.30,4.52,0.00,2.96,1.56,1.000,47,making the effectiveness even more formidable —
316,1089.30,1092.62,3.32,0.00,2.46,0.86,1.000,39,the effectiveness of using robots. Why?
317,1092.62,1098.22,5.60,0.00,3.28,2.32,1.000,52,Because AI can take massive amounts of sensor data —
318,1098.22,1101.62,3.40,0.00,3.09,0.31,1.000,49,"huge volumes of data — and digest and analyze it,"
319,1101.62,1104.70,3.08,0.00,2.08,1.00,1.000,33,"assess the battlefield situation,"
320,1104.70,1108.86,4.16,0.00,2.14,2.02,1.000,34,and then offer options for action.
321,1108.86,1111.44,2.58,0.00,2.33,0.25,1.000,37,"So have you noticed in recent months,"
322,1111.44,1113.04,1.60,0.00,2.65,-1.05,1.655,42,the U.S. military looks pretty impressive?
323,1113.04,1116.50,3.46,0.00,4.22,-0.76,1.221,67,"For example, the capture of Maduro — done in a few hours overnight,"
324,1116.50,1120.54,4.04,0.00,3.22,0.82,1.000,51,"and they got him. Now in Central and South America,"
325,1120.54,1123.54,3.00,0.00,2.90,0.10,1.000,46,Venezuela counts as a regional military power.
326,1123.54,1125.66,2.12,0.00,2.65,-0.53,1.249,42,"But just like that, the capture succeeded."
327,1125.66,1129.70,4.04,0.00,3.15,0.89,1.000,50,I'll give you more examples and you'll understand.
328,1129.70,1132.46,2.76,0.00,2.84,-0.08,1.028,45,I wonder if any of you have seen this movie —
329,1132.46,1135.80,3.34,0.00,1.83,1.51,1.000,29,it's called Zero Dark Thirty.
330,1135.80,1137.60,1.80,0.00,1.77,0.03,1.000,28,Some people mistakenly think
331,1137.60,1139.20,1.60,0.00,2.33,-0.73,1.458,37,"that if you want to watch war movies,"
332,1139.20,1142.90,3.70,0.00,1.70,2.00,1.000,27,this is one of the top ten.
333,1142.90,1145.92,3.02,0.58,2.14,0.88,1.000,34,"What does ""Zero Dark Thirty"" mean?"
334,1146.50,1152.00,5.50,0.00,2.71,2.79,1.000,43,The Chinese title I think you already know.
335,1152.00,1155.06,3.06,0.00,2.02,1.04,1.000,32,"Usually for military operations,"
336,1155.06,1157.50,2.44,0.00,2.90,-0.46,1.189,46,they pick the hours between 12 a.m. and 3 a.m.
337,1157.50,1159.98,2.48,0.00,2.77,-0.29,1.119,44,Because the body's circadian rhythm tells us
338,1159.98,1162.22,2.24,0.00,2.77,-0.53,1.238,44,that most people between midnight and 3 a.m.
339,1162.22,1165.42,3.20,0.00,2.90,0.30,1.000,46,"are at their most vulnerable, their sleepiest."
340,1165.42,1169.28,3.86,0.00,1.89,1.97,1.000,30,"So ""Zero-Thirty"" means 12:30 —"
341,1169.28,1174.52,5.24,0.00,2.08,3.16,1.000,33,an operation at 30 past midnight.
342,1174.52,1176.52,2.00,0.00,1.64,0.36,1.000,26,There's a scene like this:
343,1176.52,1183.46,6.94,0.00,1.26,5.68,1.000,20,A CIA female analyst
344,1183.46,1187.32,3.86,0.00,2.21,1.65,1.000,35,finds bin Laden hiding in Pakistan.
345,1187.32,1191.12,3.80,0.00,2.46,1.34,1.000,39,But her superiors keep delaying action.
346,1191.12,1192.52,1.40,0.00,0.95,0.45,1.000,15,No action. Why?
347,1192.52,1194.72,2.20,0.00,3.03,-0.83,1.376,48,Because they're afraid of a diplomatic incident.
348,1194.72,1198.56,3.84,0.00,2.27,1.57,1.000,36,She keeps asking: how certain are we
349,1198.56,1201.78,3.22,0.00,2.65,0.57,1.000,42,that bin Laden is there? In that compound?
350,1201.78,1205.38,3.60,0.00,1.70,1.90,1.000,27,This scene: the CIA analyst
351,1205.38,1208.64,3.26,0.00,3.40,-0.14,1.044,54,goes to her boss's door every day and writes a number.
352,1208.64,1210.34,1.70,0.00,2.08,-0.38,1.224,33,"Like today: she writes ""21 days."""
353,1210.34,1212.50,2.16,0.00,3.03,-0.87,1.401,48,"It's been 21 days since they found the compound,"
354,1212.50,1214.00,1.50,0.00,1.26,0.24,1.000,20,and still no action.
355,1214.00,1216.30,2.30,0.00,1.39,0.91,1.000,22,Until what — 159 days.
356,1216.30,1219.58,3.28,0.00,2.02,1.26,1.000,32,Over four months with no action.
357,1219.58,1222.64,3.06,1.90,2.14,0.92,1.000,34,"Finally, the operation went ahead."
358,1224.54,1228.78,4.24,0.00,1.07,3.17,1.000,17,"In this Iran war,"
359,1228.78,1232.78,4.00,0.00,2.77,1.23,1.000,44,the most striking thing — was the first day.
360,1232.78,1238.50,5.72,0.00,2.21,3.51,1.000,35,"On day one, they took out Khamenei."
361,1238.50,1242.34,3.84,0.00,2.40,1.44,1.000,38,Not just that — on day one they killed
362,1242.34,1249.66,7.32,0.00,2.58,4.74,1.000,41,48 senior generals and important leaders.
363,1249.66,1251.88,2.22,0.00,1.83,0.39,1.000,29,Remarkable. Truly remarkable.
364,1251.88,1254.90,3.02,0.00,1.95,1.07,1.000,31,How could they accomplish this?
365,1254.90,1256.76,1.86,0.00,2.33,-0.47,1.254,37,Beyond the precision of the weapons —
366,1256.76,1260.44,3.68,0.00,1.45,2.23,1.000,23,look at the upper-left:
367,1260.44,1263.84,3.40,0.00,3.09,0.31,1.000,49,"Khamenei's residence — a precision strike, right?"
368,1263.84,1265.36,1.52,0.00,1.45,0.07,1.000,23,The building collapsed.
369,1265.36,1268.72,3.36,0.00,1.45,1.91,1.000,23,"And several deep holes,"
370,1268.72,1272.20,3.48,0.00,2.65,0.83,1.000,42,because they used bunker-buster munitions.
371,1272.20,1277.58,5.38,0.00,3.47,1.91,1.000,55,Meanwhile the surrounding buildings were not destroyed.
372,1277.58,1280.94,3.36,0.00,2.14,1.22,1.000,34,So what's actually happening here?
373,1280.94,1283.92,2.98,0.00,2.08,0.90,1.000,33,They use extensive surveillance —
374,1283.92,1286.26,2.34,0.00,1.77,0.57,1.000,28,"street cameras, for example,"
375,1286.26,1289.66,3.40,0.00,2.96,0.44,1.000,47,"massive surveillance, and AI to analyze it all."
376,1289.66,1293.08,3.42,0.00,3.40,0.02,1.000,54,"They confirm all the targeted individuals are on site,"
377,1293.08,1295.86,2.78,0.00,1.13,1.65,1.000,18,then decide when —
378,1295.86,1298.08,2.22,0.00,2.08,0.14,1.000,33,whether to strike at that moment.
379,1298.08,1303.28,5.20,0.00,2.40,2.80,1.000,38,And when they do strike — what weapon?
380,1303.28,1307.24,3.96,0.00,2.02,1.94,1.000,32,You may have heard of one called
381,1307.24,1311.10,3.86,0.00,1.77,2.09,1.000,28,"""Blue Spear"" — Blue Sparrow."
382,1311.10,1313.94,2.84,0.00,2.08,0.76,1.000,33,This weapon is very unusual. Why?
383,1313.94,1317.26,3.32,0.00,2.96,0.36,1.000,47,"A normal missile, once launched, flies forward."
384,1317.26,1318.86,1.60,0.00,1.64,-0.04,1.025,26,But this one flies upward.
385,1318.86,1321.70,2.84,0.00,2.84,0.00,1.000,45,"It punches out to the edge of the atmosphere,"
386,1321.70,1323.26,1.56,0.00,1.13,0.43,1.000,18,the edge of space.
387,1323.26,1325.44,2.18,0.00,1.26,0.92,1.000,20,Why does it do that?
388,1325.44,1327.58,2.14,0.00,2.96,-0.82,1.385,47,"First, there's less drag at the edge of space —"
389,1327.58,1330.60,3.02,0.00,1.77,1.25,1.000,28,so it has much longer range.
390,1330.60,1335.12,4.52,0.00,2.52,2.00,1.000,40,"When it comes back down to ground level,"
391,1335.12,1336.72,1.60,0.00,1.70,-0.10,1.064,27,"re-entering the atmosphere,"
392,1336.72,1339.52,2.80,0.00,1.01,1.79,1.000,16,it dives so fast
393,1339.52,1342.50,2.98,0.00,2.58,0.40,1.000,41,that interception becomes very difficult.
394,1342.50,1343.72,1.22,0.00,0.69,0.53,1.000,11,Understand?
395,1343.72,1346.44,2.72,0.00,2.02,0.70,1.000,32,There's actually another reason.
396,1346.44,1349.20,2.76,0.00,2.65,0.11,1.000,42,"Because look — this is day one of the war,"
397,1349.20,1350.76,1.56,0.00,2.02,-0.46,1.293,32,the early stage of the conflict.
398,1350.76,1354.10,3.34,0.00,3.09,0.25,1.000,49,You don't yet know how much of Iran's air defense
399,1354.10,1355.80,1.70,0.00,2.08,-0.38,1.224,33,has been suppressed or destroyed.
400,1355.80,1360.68,4.88,0.00,3.15,1.73,1.000,50,So they chose this weapon for exactly that reason.
401,1360.68,1364.14,3.46,0.00,3.72,-0.26,1.075,59,"You know, radar — no matter how it looks from the outside —"
402,1364.14,1368.36,4.22,0.00,3.15,1.07,1.000,50,inside it has an antenna that rotates 360 degrees.
403,1368.36,1370.02,1.66,0.00,1.83,-0.17,1.101,29,The principle is that simple:
404,1370.02,1373.64,3.62,0.00,1.58,2.04,1.000,25,"you emit signals outward,"
405,1373.64,1376.68,3.04,0.00,2.52,0.52,1.000,40,"they bounce off something and come back,"
406,1376.68,1378.24,1.56,0.00,2.14,-0.58,1.374,34,and now you know what's out there.
407,1378.24,1379.62,1.38,0.00,1.77,-0.39,1.279,28,"It scans 360 degrees, right?"
408,1379.62,1384.32,4.70,0.00,2.14,2.56,1.000,34,But most radars have a blind spot.
409,1384.32,1386.72,2.40,0.00,1.95,0.45,1.000,31,That blind spot is the zenith —
410,1386.72,1387.98,1.26,0.00,1.13,0.13,1.000,18,directly overhead.
411,1387.98,1391.36,3.38,0.00,2.77,0.61,1.000,44,You rarely see a radar sweeping straight up.
412,1391.36,1393.02,1.66,0.00,0.69,0.97,1.000,11,Understand?
413,1393.02,1395.50,2.48,0.00,2.65,-0.17,1.068,42,So this Blue Sparrow's special feature is:
414,1395.50,1398.24,2.74,0.00,2.08,0.66,1.000,33,it comes in right at the zenith —
415,1398.24,1401.60,3.36,0.00,1.77,1.59,1.000,28,straight down on top of you.
416,1401.60,1405.32,3.72,0.00,1.13,2.59,1.000,18,So why on day one?
417,1405.32,1407.12,1.80,0.00,1.70,0.10,1.000,27,What I want to show you is:
418,1407.12,1410.08,2.96,0.00,2.71,0.25,1.000,43,"all that intelligence — the analysis of it,"
419,1410.08,1414.28,4.20,0.00,2.21,1.99,1.000,35,"the timing, the weapon operations —"
420,1414.28,1419.80,5.52,0.00,3.59,1.93,1.000,57,all of it was filtered through AI to inform the decision.
421,1419.80,1425.76,5.96,0.00,1.39,4.57,1.000,22,The result is obvious.
422,1425.76,1433.26,7.50,0.00,2.21,5.29,1.000,35,"Now, facing these unmanned weapons,"
423,1433.26,1435.76,2.50,0.00,2.08,0.42,1.000,33,there are counter-strategies too.
424,1435.76,1440.10,4.34,0.00,2.14,2.20,1.000,34,Can you see what this image shows?
425,1440.10,1444.96,4.86,0.00,1.20,3.66,1.000,19,Look at this city —
426,1444.96,1447.52,2.56,0.00,3.15,-0.59,1.231,50,doesn't it look like there's a spider web over it?
427,1447.52,1453.66,6.14,0.00,2.14,4.00,1.000,34,This is a town in eastern Ukraine.
428,1453.66,1457.38,3.72,0.00,0.95,2.77,1.000,15,What are those?
429,1457.38,1459.94,2.56,0.00,0.76,1.80,1.000,12,When a drone
430,1459.94,1462.66,2.72,0.00,1.58,1.14,1.000,25,"is launched into the sky,"
431,1462.66,1467.04,4.38,0.00,2.33,2.05,1.000,37,it stays in contact with its operator
432,1467.04,1470.74,3.70,0.00,1.01,2.69,1.000,16,via radio waves.
433,1470.74,1472.74,2.00,0.00,1.39,0.61,1.000,22,How do you counter it?
434,1472.74,1475.64,2.90,0.00,1.70,1.20,1.000,27,You send a jamming signal —
435,1475.64,1480.22,4.58,0.00,1.83,2.75,1.000,29,an electronic jamming system.
436,1480.22,1482.22,2.00,0.00,1.32,0.68,1.000,21,"Once contact is lost,"
437,1482.22,1483.52,1.30,0.00,1.83,-0.53,1.406,29,you can't control it anymore.
438,1483.52,1486.32,2.80,0.00,2.84,-0.04,1.013,45,Understand? So how do you solve that problem?
439,1486.32,1489.48,3.16,0.00,2.77,0.39,1.000,44,How do you solve it? They use fiber optics —
440,1489.48,1494.48,5.00,0.00,1.26,3.74,1.000,20,fiber-optic cables —
441,1494.48,1496.72,2.24,0.00,1.26,0.98,1.000,20,to tether the drone.
442,1496.72,1500.36,3.64,0.00,2.77,0.87,1.000,44,That way it's not affected by radio jamming.
443,1500.36,1504.04,3.68,0.00,3.59,0.09,1.000,57,"And through the fiber, you can transmit the same signals:"
444,1504.04,1506.04,2.00,0.00,1.77,0.23,1.000,28,"first, control of the drone;"
445,1506.04,1508.04,2.00,0.00,1.45,0.55,1.000,23,"second, the video feed."
446,1508.04,1511.96,3.92,0.00,3.15,0.77,1.000,50,You can still operate it from a first-person view.
447,1511.96,1513.42,1.46,0.00,1.45,0.01,1.000,23,Do you see what I mean?
448,1513.42,1518.02,4.60,0.00,3.66,0.94,1.000,58,And those fiber cables are very long — tens of kilometers.
449,1518.02,1519.18,1.16,0.00,1.95,-0.79,1.685,31,Each one is tens of kilometers.
450,1519.18,1521.52,2.34,0.00,1.89,0.45,1.000,30,"After the target is destroyed,"
451,1521.52,1524.50,2.98,0.00,2.65,0.33,1.000,42,the fiber stays behind on the battlefield.
452,1524.50,1529.70,5.20,0.00,3.59,1.61,1.000,57,"Over time, the whole battlefield looks like a spider web."
453,1529.70,1533.00,3.30,0.00,1.83,1.47,1.000,29,That's what those fibers are.
454,1533.00,1537.42,4.42,0.00,3.22,1.20,1.000,51,If you know fiber optics — it doesn't break easily.
455,1537.42,1540.90,3.48,0.00,3.53,-0.05,1.015,56,"But as you can imagine, there are real problems with it."
456,1540.90,1547.02,6.12,0.00,3.72,2.40,1.000,59,"Beyond all that fiber being left behind on the battlefield,"
457,1547.02,1552.42,5.40,0.00,4.85,0.55,1.000,77,"there's the fact that no matter how long it is, it's only tens of kilometers."
458,1552.42,1556.62,4.20,0.00,1.58,2.62,1.000,25,So how do you solve that?
459,1556.62,1563.18,6.56,0.00,2.77,3.79,1.000,44,How do you really solve the jamming problem?
460,1563.18,1567.02,3.84,0.00,1.20,2.64,1.000,19,"A few weeks ago, in"
461,1567.02,1570.96,3.94,0.00,2.96,0.98,1.000,47,"Foreign Affairs magazine, there was an article."
462,1570.96,1573.50,2.54,0.00,1.77,0.77,1.000,28,The author is quite famous —
463,1573.50,1577.66,4.16,0.00,1.26,2.90,1.000,20,"a four-star general,"
464,1577.66,1584.08,6.42,0.00,1.77,4.65,1.000,28,and the former CIA Director.
465,1584.08,1588.90,4.82,0.00,3.47,1.35,1.000,55,"He wrote an article about the ""autonomous battlefield."""
466,1588.90,1591.64,2.74,0.00,1.83,0.91,1.000,29,What does that mean? He said:
467,1591.64,1594.62,2.98,0.00,1.58,1.40,1.000,25,"in the end, winning a war"
468,1594.62,1599.36,4.74,0.00,3.22,1.52,1.000,51,"doesn't come down to how many drones a country has,"
469,1599.36,1601.36,2.00,0.00,1.70,0.30,1.000,27,how many unmanned weapons —
470,1601.36,1609.86,8.50,0.00,3.72,4.78,1.000,59,it comes down to how those unmanned weapons make decisions.
471,1609.86,1612.38,2.52,0.00,2.21,0.31,1.000,35,"If, when you've detected the enemy,"
472,1612.38,1617.40,5.02,0.00,3.22,1.80,1.000,51,"before firing, you still need a human — a soldier —"
473,1617.40,1620.40,3.00,0.00,1.70,1.30,1.000,27,"to press the firing button,"
474,1620.40,1624.56,4.16,0.06,3.22,0.94,1.000,51,"that operation, that reaction, is already too slow."
475,1624.62,1626.62,2.00,0.00,1.89,0.11,1.000,30,Do you understand what I mean?
476,1626.62,1631.66,5.04,0.00,1.64,3.40,1.000,26,So look at Ukraine today —
477,1631.66,1635.22,3.56,0.00,3.34,0.22,1.000,53,"the Interceptor on the left was developed by Ukraine,"
478,1635.22,1639.12,3.90,0.00,3.59,0.31,1.000,57,which is now helping Gulf states deal with Iran's drones.
479,1639.12,1644.62,5.50,0.00,2.77,2.73,1.000,44,On the right are drones invented by the U.S.
480,1644.62,1646.62,2.00,0.00,2.14,-0.14,1.072,34,What's special about these drones?
481,1646.62,1649.22,2.60,0.00,1.58,1.02,1.000,25,"First, they're AI-guided."
482,1649.22,1652.22,3.00,0.00,1.13,1.87,1.000,18,Their pilot is AI.
483,1652.22,1656.14,3.92,0.00,1.83,2.09,1.000,29,"That is, when you launch one,"
484,1656.14,1658.78,2.64,0.00,1.64,1.00,1.000,26,"you've given it a mission,"
485,1658.78,1660.86,2.08,0.00,2.21,-0.13,1.061,35,and it will carry out that mission.
486,1660.86,1663.66,2.80,0.00,1.89,0.91,1.000,30,"When you send it into the air,"
487,1663.66,1665.02,1.36,0.00,1.26,0.10,1.000,20,what do they expect?
488,1665.02,1668.24,3.22,0.00,3.47,-0.25,1.077,55,That contact will be lost quickly — because of jamming.
489,1668.24,1671.42,3.18,0.00,2.33,0.85,1.000,37,"But because you've given it an order,"
490,1671.42,1673.12,1.70,0.00,1.32,0.38,1.000,21,it will execute. How?
491,1673.12,1676.58,3.46,0.00,2.52,0.94,1.000,40,It will autonomously seek out the target
492,1676.58,1679.20,2.62,0.00,0.95,1.67,1.000,15,and destroy it.
493,1679.20,1682.16,2.96,0.00,2.71,0.25,1.000,43,"After that, several scenarios are possible."
494,1682.16,1685.68,3.52,0.00,0.76,2.76,1.000,12,"First, what?"
495,1685.68,1688.78,3.10,0.00,3.66,-0.56,1.180,58,The target it was looking for has already been destroyed —
496,1688.78,1691.78,3.00,0.00,1.70,1.30,1.000,27,then it will safely return.
497,1691.78,1692.78,1.00,0.00,0.50,0.50,1.000,8,Or what?
498,1692.78,1696.88,4.10,0.00,3.40,0.70,1.000,54,"It finds another target. Once its target is destroyed,"
499,1696.88,1700.66,3.78,0.00,2.21,1.57,1.000,35,"it finds another target on its own,"
500,1700.66,1703.16,2.50,0.00,2.71,-0.21,1.084,43,"finds another target, and then destroys it."
501,1703.16,1704.44,1.28,0.00,0.50,0.78,1.000,8,Or what?
502,1704.44,1708.92,4.48,0.00,2.65,1.83,1.000,42,Or you re-establish contact with the drone
503,1708.92,1712.44,3.52,0.00,3.40,0.12,1.000,54,"and change its orders, or give it a different command."
504,1712.44,1713.78,1.34,0.00,1.89,-0.55,1.412,30,Do you understand what I mean?
505,1713.78,1716.76,2.98,0.00,2.65,0.33,1.000,42,"Simply put, once you've put it in the air,"
506,1716.76,1720.72,3.96,0.00,2.08,1.88,1.000,33,it executes the order on its own.
507,1720.72,1727.52,6.80,0.00,2.21,4.59,1.000,35,"At the moment of dropping the bomb,"
508,1727.52,1729.22,1.70,0.00,2.46,-0.76,1.446,39,you don't have to press anything again.
509,1729.22,1733.68,4.46,0.00,2.77,1.69,1.000,44,It carries out this kind of order by itself.
510,1733.68,1736.18,2.50,0.00,1.13,1.37,1.000,18,Are you following?
511,1736.18,1742.46,6.28,0.00,2.96,3.32,1.000,47,I think this is exactly where the problem lies.
512,1742.46,1745.90,3.44,0.00,3.28,0.16,1.000,52,"Because traditionally, with so-called killer robots,"
513,1745.90,1747.90,2.00,0.00,2.08,-0.08,1.040,33,there has always been a red line.
514,1747.90,1749.54,1.64,0.00,1.39,0.25,1.000,22,What is that red line?
515,1749.54,1752.78,3.24,0.00,3.47,-0.23,1.070,55,"At the final moment, when the decision to fire is made,"
516,1752.78,1756.96,4.18,0.00,1.70,2.48,1.000,27,where does the control sit?
517,1756.96,1759.74,2.78,0.00,2.27,0.51,1.000,36,Is it with the soldier operating it?
518,1759.74,1763.70,3.96,0.00,2.46,1.50,1.000,39,Or do you hand it over to AI to decide?
519,1763.70,1767.80,4.10,0.00,2.52,1.58,1.000,40,That's the red line. That's the trigger.
520,1767.80,1769.72,1.92,0.00,1.58,0.34,1.000,25,And what did we just see?
521,1769.72,1772.92,3.20,0.00,2.71,0.49,1.000,43,"Because of how the battlefield has evolved,"
522,1772.92,1776.46,3.54,0.00,3.47,0.07,1.000,55,"they've developed these drones, these unmanned systems,"
523,1776.46,1779.60,3.14,0.00,2.08,1.06,1.000,33,"and to deal with jamming signals,"
524,1779.60,1783.34,3.74,0.00,1.70,2.04,1.000,27,they made this arrangement:
525,1783.34,1786.40,3.06,0.00,3.47,-0.41,1.133,55,"once you launch it, it executes the mission on its own."
526,1786.40,1790.06,3.66,0.00,2.02,1.64,1.000,32,AI is its navigator. Understand?
527,1790.06,1791.86,1.80,0.00,1.32,0.48,1.000,21,Some people will ask:
528,1791.86,1794.06,2.20,0.00,3.03,-0.83,1.376,48,"how is that even acceptable? Once it's up there,"
529,1794.06,1798.66,4.60,0.00,3.22,1.38,1.000,51,it finds its own targets and opens fire on its own.
530,1798.66,1801.94,3.28,0.00,2.02,1.26,1.000,32,Does it know who it's targeting?
531,1801.94,1804.22,2.28,0.00,2.58,-0.30,1.134,41,Does it know whether it's right or wrong?
532,1804.22,1805.78,1.56,0.00,1.07,0.49,1.000,17,Is it acceptable?
533,1805.78,1807.66,1.88,0.00,1.77,0.11,1.000,28,But you have to understand —
534,1807.66,1811.36,3.70,0.00,3.03,0.67,1.000,48,"in four years of war between Russia and Ukraine,"
535,1811.36,1814.10,2.74,0.00,1.77,0.97,1.000,28,what does Ukraine want most?
536,1814.10,1815.70,1.60,0.00,0.95,0.65,1.000,15,To win the war.
537,1815.70,1817.78,2.08,0.00,1.20,0.88,1.000,19,"Whether it's moral,"
538,1817.78,1821.24,3.46,0.00,4.10,-0.64,1.184,65,whether it's appropriate — leave that to the academics to debate.
539,1821.24,1823.80,2.56,0.00,2.02,0.54,1.000,32,"Understand? So little by little,"
540,1823.80,1828.16,4.36,0.00,1.95,2.41,1.000,31,that red line has been crossed.
541,1828.16,1831.24,3.08,0.00,3.09,-0.01,1.003,49,And that has produced what we just talked about —
542,1831.24,1833.76,2.52,0.00,2.46,0.06,1.000,39,the killer robot's two defining traits.
543,1833.76,1837.72,3.96,0.00,2.33,1.63,1.000,37,First: equipped with lethal weapons —
544,1837.72,1841.16,3.44,0.00,1.39,2.05,1.000,22,"guns, bombs, whatever."
545,1841.16,1847.04,5.88,0.00,2.52,3.36,1.000,40,Second: capable of autonomous execution.
546,1847.04,1850.80,3.76,0.44,3.34,0.42,1.000,53,And the boundary keeps getting blurrier and blurrier.
547,1851.24,1854.08,2.84,0.00,2.65,0.19,1.000,42,"Getting blurrier — if you follow the news,"
548,1854.08,1857.38,3.30,0.00,2.21,1.09,1.000,35,recently there's been an AI company
549,1857.38,1860.72,3.34,0.00,3.09,0.25,1.000,49,in a lawsuit with the U.S. Department of Defense.
550,1860.72,1864.26,3.54,0.00,1.70,1.84,1.000,27,Because they're very firm —
551,1864.26,1867.94,3.68,0.00,2.46,1.22,1.000,39,they believe that AI on the battlefield
552,1867.94,1871.16,3.22,0.00,2.08,1.14,1.000,33,can only be allowed to go so far.
553,1871.16,1873.94,2.78,0.00,3.47,-0.69,1.247,55,They think it shouldn't be allowed to act autonomously.
554,1873.94,1876.02,2.08,0.00,2.52,-0.44,1.212,40,"The Defense Department, of course, says:"
555,1876.02,1878.90,2.88,0.00,2.46,0.42,1.000,39,we can't work with a company like that.
556,1878.90,1880.66,1.76,0.00,1.89,-0.13,1.075,30,So they canceled the contract.
557,1880.66,1884.56,3.90,0.00,1.39,2.51,1.000,22,And now it's in court.
558,1884.56,1886.30,1.74,0.00,1.26,0.48,1.000,20,So what can you see?
559,1886.30,1888.08,1.78,0.00,1.13,0.65,1.000,18,This is the trend.
560,1888.08,1890.58,2.50,0.00,1.83,0.67,1.000,29,And I believe this represents
561,1890.58,1893.72,3.14,0.00,2.90,0.24,1.000,46,the coming third revolution in weapons of war.
562,1893.72,1897.64,3.92,0.00,2.84,1.08,1.000,45,What makes it different from nuclear weapons?
563,1897.64,1903.18,5.54,0.00,2.40,3.14,1.000,38,The materials are very easy to obtain.
564,1903.18,1905.02,1.84,0.00,1.77,0.07,1.000,28,You can even use 3D printers
565,1905.02,1907.66,2.64,0.00,1.45,1.19,1.000,23,to print these weapons.
566,1907.66,1909.92,2.26,0.00,2.52,-0.26,1.116,40,You may have heard a recent news story —
567,1909.92,1914.52,4.60,0.00,3.40,1.20,1.000,54,"Beijing banning certain people, banning drone flights,"
568,1914.52,1917.96,3.44,0.00,2.90,0.54,1.000,46,banning drone modifications. It's very simple:
569,1917.96,1922.26,4.30,0.00,3.78,0.52,1.000,60,"all you need is to build a drone and strap explosives to it,"
570,1922.26,1926.78,4.52,0.00,3.03,1.49,1.000,48,and you've got a decapitation strike capability.
571,1926.78,1931.56,4.78,0.00,1.64,3.14,1.000,26,"So unlike nuclear weapons,"
572,1931.56,1939.34,7.78,0.00,4.35,3.43,1.000,69,the materials here are more widespread and far easier to proliferate.
573,1939.34,1945.34,6.00,0.00,2.58,3.42,1.000,41,"And Ukraine today — if you search online,"
574,1945.34,1952.14,6.80,0.00,3.85,2.95,1.000,61,you'll find they can manufacture millions of drones per year.
575,1952.14,1955.78,3.64,0.00,3.85,-0.21,1.057,61,At the start of the war they had almost no military industry.
576,1955.78,1962.98,7.20,0.00,2.96,4.24,1.000,47,Now they can produce millions of drones a year.
577,1962.98,1965.20,2.22,0.00,1.51,0.71,1.000,24,Alright — you might ask:
578,1965.20,1969.42,4.22,0.00,3.85,0.37,1.000,61,"these weapons revolutions, the development of these weapons —"
579,1969.42,1972.70,3.28,2.18,2.02,1.26,1.000,32,what does it have to do with us?
580,1974.88,1977.32,2.44,0.00,2.52,-0.08,1.034,40,"In the Book of Revelation, in the Bible,"
581,1977.32,1979.90,2.58,0.00,2.71,-0.13,1.051,43,there are descriptions of future disasters.
582,1979.90,1984.40,4.50,0.00,3.03,1.47,1.000,48,"While we were singing earlier, I had a thought —"
583,1984.40,1988.32,3.92,0.00,3.59,0.33,1.000,57,"because the Lord has saved us, and He will save us still."
584,1988.32,1990.48,2.16,0.00,1.32,0.84,1.000,21,"He saved us from sin,"
585,1990.48,1993.48,3.00,0.00,2.65,0.35,1.000,42,and He will save us from disaster as well.
586,1993.48,1996.54,3.06,0.00,1.83,1.23,1.000,29,"Speaking of future disasters,"
587,1996.54,2000.58,4.04,0.00,3.53,0.51,1.000,56,one of the things mentioned is the massive loss of life.
588,2000.58,2006.94,6.36,0.00,2.40,3.96,1.000,38,This refers especially to two moments.
